idCategoria,nombreCategoria,descripcionCategoria,estadoCategoria
"1"",""Hamburguesas"",""Productos a base de carne"",""Activo"""
"2"",""Bebidas"",""Refrescos y agua"",""Activo"""
"3"",""Postres"",""Helados y pasteles"",""Activo"""
"4"",""Pizzas"",""Productos horneados con base de masa y toppings variados"",""Activo"""
"5"",""Tacos"",""Preparaciones con tortilla rellena de carne vegetales o queso"",""Activo"""
"6"",""Ensaladas"",""Opciones frescas con vegetales proteínas y aderezos"",""Activo"""
"7"",""Snacks"",""Alimentos ligeros como papas fritas nuggets o aros de cebolla"",""Activo"""
"8"",""Wraps"",""Rollos de tortilla rellenos de ingredientes variados"",""Activo"""
"9"",""Pollo"",""Preparaciones a base de pollo frito asado o empanizado"",""Activo"""
"10"",""Hot Dogs"",""Pan con salchicha y acompañamientos"",""Activo"""
"11"",""Combos"",""Paquetes que agrupan varios productos con descuento"",""Activo"""
"12"",""Vegetariano"",""Opciones sin carne con base vegetal o sustitutos"",""Activo"""
"13"",""Infantil"",""Menús diseñados para niños con porciones y sabores adaptados"",""Activo"""
"14"",""Salsas"",""Complementos líquidos para acompañar platos principales"",""Activo"""
"15"",""Extras"",""Adiciones como queso tocino huevo o jalapeños"",""Activo"""
