Cantidad,precioUnitario,descuento,idPedido,idProducto
2,3.50,0.00,1,1
2,1.00,0.00,1,3
1,4.75,0.00,2,2
1,2.25,0.00,2,5
1,0.90,0.00,3,4
1,2.00,0.00,3,6
1,3.50,0.00,3,1
3,1.00,0.30,4,3
1,4.75,0.00,4,2
2,2.25,0.00,5,5
1,3.50,0.00,5,1
1,1.00,0.00,6,3
2,2.00,0.00,6,6
1,4.75,0.00,7,2
1,0.90,0.00,7,4
2,3.50,0.00,8,1
1,2.25,0.00,8,5
1,1.00,0.00,9,3
1,2.00,0.00,9,6
1,4.75,0.00,10,2
2,0.90,0.00,10,4
1,3.50,0.00,11,1
1,2.25,0.00,11,5
1,1.00,0.00,12,3
1,2.00,0.00,12,6
1,4.75,0.00,13,2
1,0.90,0.00,13,4
2,3.50,0.00,14,1
