idProducto,nombreProducto,descripcion,precio,stock,estado,idCategoria
"1,Hamburguesa BBQ,Carne queso cebolla caramelizada y salsa BBQ"",4.25,180,Activo,1"
"2,Hamburguesa Vegetariana,""Hamburguesa de garbanzo con vegetales"",3.80,100,Activo,1"
"3,Hamburguesa Picante,""Carne jalapeños queso cheddar y salsa picante"",4.00,120,Activo,1"
"4,Refresco 1L,""Bebida gaseosa 1 litro"",1.50,300,Activo,2"
"5,Jugo Natural,""Jugo de frutas sin azúcar añadida"",1.75,250,Activo,2"
"6,Café Helado,""Café frío con leche y hielo"",2.00,200,Activo,2"
"7,Brownie,""Brownie de chocolate con nueces"",2.50,90,Activo,3"
"8,Sundae Chocolate,""Helado de vainilla con sirope de chocolate"",2.25,110,Activo,3"
"9,Galleta Chispas,""Galleta grande con chispas de chocolate"",1.50,150,Activo,3"
"10,Pizza Personal,""Pizza individual de pepperoni"",3.75,80,Activo,4"
"11,Pizza Vegetariana,""Pizza con vegetales y queso mozzarella"",3.50,70,Activo,4"
"12,Pizza Suprema,""Pizza con carne vegetales y doble queso"",4.50,60,Activo,4"
"13,Taco de Pollo,""Tortilla con pollo lechuga y salsa"",2.00,200,Activo,5"
"14,Taco de Res,""Tortilla con carne de res y vegetales"",2.25,180,Activo,5"
"15,Taco Vegetariano,""Tortilla con frijoles maíz y aguacate"",2.00,150,Activo,5"
"16,Ensalada César,""Lechuga pollo crutones y aderezo César"",3.00,100,Activo,6"
"17,Ensalada Mixta,""Vegetales frescos con vinagreta"",2.75,120,Activo,6"
"18,Ensalada Tropical,""Frutas frescas con yogurt"",2.50,90,Activo,6"
"19,Papas Fritas,""Papas fritas clásicas"",1.50,300,Activo,7"
"20,Aros de Cebolla,""Aros empanizados y fritos"",1.75,200,Activo,7"
"21,Nuggets de Pollo,""Porción de 6 nuggets"",2.25,250,Activo,7"
"22,Wrap de Pollo,""Tortilla rellena de pollo y vegetales"",3.25,100,Activo,8"
"23,Wrap Vegetariano,""Tortilla con hummus y vegetales"",3.00,80,Activo,8"
"24,Alitas BBQ,""6 alitas con salsa BBQ"",4.00,90,Activo,9"
"25,Piezas de Pollo,""2 piezas de pollo frito"",3.50,100,Activo,9"
"26,Hot Dog Clásico,""Pan salchicha ketchup y mostaza"",2.00,150,Activo,10"
"27,Hot Dog Especial,""Salchicha con queso tocino y jalapeños"",2.50,120,Activo,10"
